levels;alpha_beta;method;trial;turns;outcome;real_time;date;time
1;0;simple;0;63;whites_won;0.16901755332946777;2022-05-19;00:26:41.736162
1;0;simple;1;53;whites_won;0.14059233665466309;2022-05-19;00:26:41.905180
1;0;simple;2;31;whites_won;0.09372758865356445;2022-05-19;00:26:42.045772
1;0;simple;3;63;whites_won;0.15621399879455566;2022-05-19;00:26:42.139500
1;0;simple;4;53;whites_won;0.14059185981750488;2022-05-19;00:26:42.295714
1;0;simple;5;48;whites_won;0.15621328353881836;2022-05-19;00:26:42.444646
1;0;simple;6;51;whites_won;0.2030785083770752;2022-05-19;00:26:42.600860
1;0;simple;7;70;black_won;0.21869850158691406;2022-05-19;00:26:42.803938
1;0;simple;8;40;whites_won;0.10934877395629883;2022-05-19;00:26:43.022636
1;0;simple;9;53;whites_won;0.17183494567871094;2022-05-19;00:26:43.131985
1;0;simple;10;43;whites_won;0.10934925079345703;2022-05-19;00:26:43.303820
1;0;simple;11;32;black_won;0.09372782707214355;2022-05-19;00:26:43.413169
1;0;simple;12;48;black_won;0.20307707786560059;2022-05-19;00:26:43.506897
1;0;simple;13;29;whites_won;0.07810664176940918;2022-05-19;00:26:43.709974
1;0;simple;14;53;whites_won;0.15621352195739746;2022-05-19;00:26:43.788081
1;0;simple;15;53;whites_won;0.14310121536254883;2022-05-19;00:26:43.944295
1;0;simple;16;43;whites_won;0.2161257266998291;2022-05-19;00:26:44.087396
1;0;simple;17;31;whites_won;0.187455415725708;2022-05-19;00:26:44.303521
1;0;simple;18;40;black_won;0.1874561309814453;2022-05-19;00:26:44.506598
1;0;simple;19;63;whites_won;0.24994111061096191;2022-05-19;00:26:44.694054
1;0;simple;20;51;whites_won;0.24994206428527832;2022-05-19;00:26:44.943996
1;0;simple;21;43;whites_won;0.15621232986450195;2022-05-19;00:26:45.193937
1;0;simple;22;32;black_won;0.12497115135192871;2022-05-19;00:26:45.350150
1;0;simple;23;43;whites_won;0.12497067451477051;2022-05-19;00:26:45.475121
1;0;simple;24;43;whites_won;0.10934877395629883;2022-05-19;00:26:45.600092
1;0;simple;25;51;whites_won;0.2030773162841797;2022-05-19;00:26:45.709441
1;0;simple;26;49;whites_won;0.28118419647216797;2022-05-19;00:26:45.912518
1;0;simple;27;53;whites_won;0.4373972415924072;2022-05-19;00:26:46.193702
1;0;simple;28;48;black_won;0.34366893768310547;2022-05-19;00:26:46.631099
1;0;simple;29;29;whites_won;0.10934948921203613;2022-05-19;00:26:46.974768
1;0;simple;30;49;whites_won;0.18745636940002441;2022-05-19;00:26:47.084118
1;0;simple;31;83;draw;0.6385700702667236;2022-05-19;00:26:47.271574
1;0;simple;32;53;whites_won;0.1904900074005127;2022-05-19;00:26:47.913136
1;0;simple;33;53;whites_won;0.16356301307678223;2022-05-19;00:26:48.105621
1;0;simple;34;29;whites_won;0.09574413299560547;2022-05-19;00:26:48.270181
1;0;simple;35;48;whites_won;0.1904909610748291;2022-05-19;00:26:48.366922
1;0;simple;36;49;whites_won;0.1625657081604004;2022-05-19;00:26:48.559407
1;0;simple;37;56;black_won;0.18550348281860352;2022-05-19;00:26:48.722970
1;0;simple;38;43;whites_won;0.1047201156616211;2022-05-19;00:26:48.909471
1;0;simple;39;55;whites_won;0.16755199432373047;2022-05-19;00:26:49.015189
1;0;simple;40;83;draw;0.5335729122161865;2022-05-19;00:26:49.183738
1;0;simple;41;31;whites_won;0.10272526741027832;2022-05-19;00:26:49.720303
1;0;simple;42;29;whites_won;0.09773683547973633;2022-05-19;00:26:49.825025
1;0;simple;43;51;whites_won;0.28324222564697266;2022-05-19;00:26:49.923759
1;0;simple;44;48;whites_won;0.2044532299041748;2022-05-19;00:26:50.208996
1;0;simple;45;48;whites_won;0.18949389457702637;2022-05-19;00:26:50.415444
